path;author;sex;birthday;header;created;sphere;genre_fi;type;topic;chronotop;style;audience_age;audience_level;audience_size;source;publication;publisher;publ_year;medium;subcorpus;tagging;words
post1950/fiction_mem/vodolazkin/Vodolazkin_Lavr;Евгений Водолазкин;муж;1964;Лавр;2012;художественная;историческая проза;роман;;Россия: XV век;нейтральный;н-возраст;н-уровень;большая;Евгений Водолазкин. Лавр. М.: Астрель, 2012;Евгений Водолазкин. Лавр;Астрель;2012;книга;ПК письменных текстов;none;89755
post1950/fiction_mem/panova/panova2-01;В. Ф. Панова;жен;1905;Времена года. Из летописей города Энска;1953;художественная;нежанровая проза;роман;;Россия/СССР: советский период;нейтральный;н-возраст;н-уровень;большая;Панова В. Ф. Собр. соч.: В 5 т. Т. 2. Л.: «Художественная литература», 1987;Панова В. Ф. Собр. соч.: В 5 т. Т. 2;«Художественная литература»;1987;книга;ПК письменных текстов;none;89690
post1950/nauka/psycho/zejgarnik/zejgarnik;Б. В. Зейгарник;жен;1900;Патопсихология;1986;учебно-научная | нехудожественная;;учебник;наука и технологии|психология;;специальный;н-возраст;н-уровень;большая;Зейгарник Б. В. Патопсихология. М.: МГУ, 1986;Зейгарник Б. В. Патопсихология;МГУ;1986;книга;ПК письменных текстов;none;89644
post1950/vagr/masslit/skvorcov/kanikuly;Валериан Скворцов;муж;1935;Каникулы вне закона;2001;художественная;детектив, боевик;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Валериан Скворцов. Каникулы вне закона. М.: Вагриус, 2001;Валериан Скворцов. Каникулы вне закона;Вагриус;2001;книга;ПК письменных текстов;none;89631
post1950/vagr/vagr4/lipsker/sonrazum;Дмитрий Липскеров;муж;1964;Последний сон разума;1999;художественная;фантастика;роман;;ирреальный мир;нейтральный;н-возраст;н-уровень;большая;Липскеров Д. Последний сон разума. _ М.: Вагриус, 2000;Липскеров Д. Последний сон разума;Вагриус;2000;книга;ПК письменных текстов;none;89605
post1950/vagr/vagr4/smirnova/lyubov;Лидия Смирнова;жен;1913;Моя любовь;1997;публицистика | нехудожественная;;мемуары;;Россия/СССР: советский период|Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Лидия Смирнова. Моя любовь. «Вагриус», 1997?;Лидия Смирнова. Моя любовь;Вагриус;1997;книга;ПК письменных текстов;none;89551
post1950/vagr/vagr4/astafyev/oberto02;Виктор Астафьев;муж;1924;Зрячий посох;1978-1982;художественная;документальная проза;повесть;;Россия/СССР: советский период;нейтральный;н-возраст;н-уровень;большая;Астафьев В. П. Обертон. _ М.: Вагриус, 1998;Виктор Астафьев. Обертон;Вагриус;1998;книга;ПК письменных текстов;none;89414
post1950/fiction_mem/belyanin/landgraf;Андрей Белянин;муж;1967;Свирепый ландграф;1999;художественная;фантастика;роман;;ирреальный мир;нейтральный;н-возраст;н-уровень;очень большая;А. Белянин. Свирепый ландграф. М.: «Армада», «Альфа-книга», 1999;Андрей Белянин. Свирепый ландграф;«Армада», «Альфа-книга»;1999;книга;ПК письменных текстов;none;88789
post1950/vagr/vagr2/volodarsky/dnevnik;Эдуард Володарский;муж;1941;Дневник самоубийцы;1997;художественная;нежанровая проза;роман;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Володарский Э. Дневник самоубийцы. _ М.: Вагриус, 2001;Володарский Э. Дневник самоубийцы;Вагриус;2001;книга;ПК письменных текстов;none;88701
post1950/fiction_mem/evtushenko/evtushenko;Евгений Евтушенко;муж;1932;Ягодные места;1982;художественная;нежанровая проза;роман;;Россия/СССР: советский период;нейтральный;н-возраст;н-уровень;очень большая;Евгений Евтушенко. Ягодные места. М.: Советский писатель, 1982 http://royallib.com/book/evtushenko_evgeniy/yagodnie_mesta.html;Евгений Евтушенко. Ягодные места;Советский писатель;1982;книга;ПК письменных текстов;none;88693
